iter,steps,eta_val,eta_train,reward,policy_loss,value_loss,entropy,approx_kl,clip_frac,ratio_max,ratio_bound,epsilon,sps,fluid_solve_count,fluid_cache_hit,zeta,phi_star_mean,a_f_mean,elapsed_s
73,229467,,0.35238,-0.3433,-0.004271,0.001341,0.954895,0.006191,0.071686,1.774517,229.412,0.05667,33.06,2082,714,0.7446,0.3372,3.536,7123.6
74,233982,,0.44686,-0.14308,-0.005261,0.001261,0.905395,0.006394,0.096445,2.497359,243.75,0.05333,32.73,3260,1263,0.7208,0.3538,3.386,7261.6
75,237445,,0.42897,-0.14776,-0.013624,0.00136,0.932476,0.007476,0.064387,1.947019,340.0,0.05,32.61,2654,817,0.7646,0.5063,3.58,7367.8
76,241248,,0.3479,-0.34223,-0.001054,0.001646,0.898754,0.006892,0.064006,1.876602,321.429,0.04667,32.87,2838,973,0.7447,0.3291,3.475,7483.5
77,243480,,0.35849,-0.30758,-0.000676,0.002303,0.942941,-0.000109,0.113591,4.130697,346.154,0.04333,32.87,1733,507,0.7737,0.5246,3.917,7551.4
78,247366,,0.33623,-0.36985,-0.000229,0.000783,0.986983,0.00743,0.080316,2.944379,425.0,0.04,32.36,2812,1082,0.7221,0.3011,3.892,7671.6
79,251169,,0.367,-0.29141,-0.001113,0.000825,0.98653,0.007709,0.073644,4.239759,463.636,0.03667,32.29,2798,1013,0.7342,0.4758,3.791,7789.4
80,253493,0.64,0.34764,-0.32877,0.000805,0.001659,0.959999,0.009718,0.079057,1.720389,480.0,0.03333,33.3,1743,589,0.7474,0.3299,3.789,7874.8
81,256248,,0.43782,-0.17186,-0.001041,0.001762,0.947099,0.00543,0.046663,1.601397,500.0,0.03,32.71,2122,641,0.768,0.5848,3.618,7959.0
82,260317,,0.45588,-0.09078,-0.002378,0.000891,0.966226,0.005069,0.05924,2.55397,712.5,0.02667,32.17,2935,1142,0.7199,0.4249,3.686,8085.5
83,264969,,0.35151,-0.3338,0.000132,0.000839,0.955993,0.007956,0.055411,1.829066,814.286,0.02333,32.91,3234,1426,0.694,0.2372,3.683,8226.9
84,270059,,0.49145,-0.04948,-0.004499,0.000999,0.881478,0.008943,0.10382,2.29876,1000.0,0.02,32.9,3611,1487,0.7083,0.3232,3.397,8381.6
85,274207,,0.39446,-0.23276,-0.001376,0.000923,0.935848,0.005981,0.044028,1.910191,1500.0,0.01667,32.82,3041,1115,0.7317,0.3974,3.564,8508.0
86,277036,,0.279,-0.47029,0.006506,0.000909,0.985993,0.007861,0.081321,2.848983,1350.0,0.01333,32.55,2107,730,0.7427,0.3221,3.819,8595.0
87,279727,,0.2974,-0.38665,0.00268,0.00153,0.938904,0.006869,0.076941,2.807989,1800.0,0.01,32.75,2038,661,0.7551,0.413,3.762,8677.2
88,282577,,0.3059,-0.39463,-0.006448,0.001379,0.846711,0.006422,0.071265,2.259836,1800.0,0.00667,32.42,2115,743,0.74,0.4513,3.484,8765.1
89,286636,,0.52702,0.02454,-0.002588,0.001208,0.814005,0.007768,0.097148,2.284364,5400.0,0.00333,32.41,3147,920,0.7738,0.5238,3.465,8890.3
90,288789,0.5574999999999999,0.39382,-0.23923,-0.000462,0.001639,0.7833,0.003157,0.034104,1.683606,14000.0,0.001,32.57,1683,478,0.7788,0.5247,3.444,8968.0
