iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
218,57860,0.45545,,0.705022,0.05,307.95,266.1
219,58259,0.17588,,-0.035187,0.05,305.65,267.4
220,58574,0.43023,0.2475,0.269238,0.05,69.71,271.9
221,58660,0.01205,,-0.174201,0.05,266.06,272.2
222,58851,0.32759,,0.203806,0.05,290.06,272.9
223,58877,0.0,,0.108686,0.05,260.92,273.0
224,59099,0.14141,,-0.335903,0.05,292.25,273.8
225,59437,0.10429,,-0.394955,0.05,305.96,274.9
226,59543,0.36667,,0.146329,0.05,265.46,275.3
227,59831,0.10811,,-0.334537,0.05,303.99,276.2
228,60524,0.5503,,0.370791,0.05,319.11,278.4
229,60622,0.19048,,-0.303092,0.05,267.5,278.8
230,60738,0.0,0.25749999999999995,-0.168538,0.05,29.41,282.7
231,60998,0.10714,,-0.285265,0.05,300.8,283.6
232,61106,0.11667,,-0.186723,0.05,273.3,284.0
233,61322,0.49057,,0.43632,0.05,295.39,284.7
234,61655,0.15,,-0.044815,0.05,300.9,285.8
235,61792,0.03093,,0.095766,0.05,286.11,286.3
236,62053,0.0884,,0.069228,0.05,285.86,287.2
237,62455,0.2125,,0.150836,0.05,299.41,288.6
238,63033,0.31016,,0.408455,0.05,321.54,290.4
239,63143,0.37931,,0.576167,0.05,284.63,290.8
240,63190,0.04,0.205,-0.172948,0.05,14.29,294.0
241,63346,0.12871,,0.050477,0.05,288.96,294.6
242,63447,0.07353,,0.036325,0.05,269.58,295.0
243,63525,0.26087,,0.00376,0.05,259.31,295.3
244,63604,0.26923,,-0.036052,0.05,253.2,295.6
245,63706,0.16981,,-0.280608,0.05,260.99,296.0
246,64153,0.45299,,0.100112,0.05,313.43,297.4
247,64214,0.0,,-0.045987,0.05,247.66,297.7
248,64366,0.02632,,-0.471355,0.05,276.76,298.2
249,64436,0.31818,0.2225,0.362407,0.05,18.07,302.1
