iter,steps,eta_train,eta_val,loss,epsilon,sps,elapsed_s
240,86913,0.27119,0.32999999999999996,0.010669,0.05,95.18,400.1
241,87106,0.2037,,0.008201,0.05,304.59,400.7
242,87516,0.23333,,0.026689,0.05,291.93,402.1
243,88180,0.49102,,0.029309,0.05,308.86,404.3
244,88263,0.0,,0.057045,0.05,265.17,404.6
245,88410,0.16364,,0.026232,0.05,275.96,405.1
246,89047,0.37234,,0.01873,0.05,296.73,407.3
247,89102,0.18919,,0.016357,0.05,255.86,407.5
248,89505,0.35772,,0.009673,0.05,290.36,408.9
249,89646,0.35417,0.3275,0.018468,0.05,31.68,413.3
